logistics
6,[]
8,[]
16,"['146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317', '146', '316', '317']"
17,[]
18,"['68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228', '68', '69', '69', '69', '70', '473', '474', '694', '695', '695', '695', '695', '695', '696', '1080', '1081', '1081', '1082', '1211', '1211', '1211', '1211', '1212', '1227', '1227', '1228']"
53,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38]"
54,[]
61,[]
75,[]
213,"[208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1, 208, -1]"
244,[]
252,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
283,"['1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176', '1175', '1176']"
303,[]
316,"[309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16, 309, 16]"
350,"[270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270, 270]"
387,[]
400,[]
414,[]
450,"[341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341, 341]"
476,[]
481,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
482,[]
485,[]
526,[]
531,[]
563,[]
693,"[656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656, 656]"
